x1,y,x2,x3,x4,x5,x6,x7,x8,x9
-1.8246242,0,0.2324552,-3.7939694,1.0,0.043013543,-5.4284105,0.0,-0.82261765,0.0
-1.2366612,0,1.5400279,5.086303,0.0,1.2778149,-4.8726273,1.0,0.41881078,1.0
-3.3759983,0,1.0149461,2.5518079,0.0,0.4384893,-4.0624275,1.0,0.021717757,0.0
0.8364868,0,0.3825407,-3.838594,1.0,1.3298092,-2.7342415,1.0,0.4850438,1.0
-0.4310422,0,2.1818218,0.1684984,1.0,0.99683505,-0.35590696,0.0,-0.30338436,1.0
-0.817985,0,0.39665568,-6.0379443,1.0,0.1573191,-4.7945476,0.0,-0.9030348,0.0
-0.6388334,0,2.2141314,-1.513186,1.0,0.7065187,-4.6062574,1.0,0.16932155,0.0
-2.3813865,0,0.21848226,-0.008232176,1.0,0.61386,-6.1967497,0.0,-0.20082584,0.0
-1.1916244,0,2.5390387,1.7653239,0.0,1.1927016,-2.1293156,1.0,0.67040133,0.0
-3.1352594,0,0.05584019,8.996773,0.0,1.1306239,-0.98870873,0.0,-0.9818444,0.0
-2.0620253,0,2.5257158,4.1790915,0.0,0.80430526,-2.8162055,0.0,-1.2487,0.0
0.115997195,0,0.39064252,-7.257178,1.0,-0.46677154,-3.120085,1.0,-0.7931005,0.0
-0.7257526,0,1.3538221,-4.190334,1.0,-0.1832886,-4.7149763,1.0,-0.9639609,1.0
-1.1412134,0,1.7527504,-6.688931,1.0,0.9777032,-3.8427885,0.0,-0.7884958,1.0
-1.1078434,0,1.5934157,-2.7986794,1.0,-0.34389815,-3.3913138,0.0,0.6873381,0.0
-2.5595121,0,-0.17803276,-7.247595,1.0,-1.4115136,-5.7161775,1.0,-1.1132714,0.0
2.0434306,0,2.5631878,-0.028422713,0.0,0.23134837,-2.3785124,0.0,-0.85245097,0.0
-2.5100217,0,-0.6239226,-7.1874876,1.0,-1.0322008,-3.7194886,0.0,-2.4777045,0.0
-0.3961383,0,0.85474986,-4.3387356,1.0,-0.1672455,-4.10562,0.0,-2.3245468,0.0
-0.068085074,0,3.0841918,-1.8620787,1.0,1.7472779,-2.4368594,0.0,-0.03060187,1.0
-3.834593,0,-1.6909933,-9.988404,1.0,0.09257904,-4.6169596,0.0,-0.5208347,1.0
0.21873593,0,1.6744018,-0.20855129,0.0,1.4031123,-5.050146,1.0,0.22703496,0.0
2.263997,0,1.2852721,1.6586907,0.0,0.71394104,-2.7831159,1.0,0.3366567,1.0
-2.9561236,0,-1.0666884,2.2208652,0.0,0.49308562,-2.8805661,0.0,-0.9770125,1.0
0.6802373,0,2.5379155,-1.8950558,1.0,0.2994665,-4.452074,0.0,-1.1105978,0.0
0.3121853,0,1.9756541,0.7402036,0.0,1.1908243,-2.3209183,1.0,-0.48822737,1.0
-1.514657,0,1.9824014,-5.7088976,1.0,0.48122096,-1.3929627,0.0,-0.5362879,1.0
-1.1078186,0,2.2531202,-3.087483,1.0,0.62795806,-5.065572,1.0,0.49837446,0.0
-1.5727012,0,0.6395874,1.9151726,0.0,0.33151197,-2.3796499,1.0,-0.3451563,0.0
0.06649864,0,1.6225923,0.4696288,0.0,0.37189507,-6.0770416,0.0,-0.7288559,0.0
1.405159,0,3.0293224,-4.814523,1.0,0.35283905,-3.6466205,1.0,-0.90117556,0.0
-0.21338868,0,2.49854,0.31837642,1.0,0.19484633,-2.0470605,1.0,-0.28806067,1.0
0.4068482,0,2.9883113,4.6094923,0.0,0.12698096,-1.5685961,1.0,-0.24683593,1.0
-0.6739552,0,-1.8973958,1.4452848,1.0,0.85296446,-2.900071,1.0,0.16055988,1.0
1.8259144,0,2.1692145,0.22163963,0.0,0.11949912,-3.3865032,1.0,-0.31933302,0.0
-2.0070024,0,2.6169534,-6.1005335,1.0,0.7740965,-3.8372967,1.0,-0.15006945,0.0
0.45668316,0,3.06891,0.70291173,0.0,0.029262364,-3.1391413,1.0,-0.5315959,1.0
1.521383,0,3.1760268,-0.52417254,1.0,0.57905734,-3.8468554,1.0,0.14906251,0.0
1.124392,0,2.3123477,-4.0341725,1.0,1.4895259,-2.8948257,1.0,0.62151366,1.0
-0.63045156,0,0.85775304,-5.056202,1.0,1.210866,-5.143215,1.0,0.256558,0.0
-2.9824483,0,0.46125358,-1.5232197,1.0,-0.7487443,-3.3196292,1.0,-1.2736807,0.0
-3.402268,0,-1.5657765,-0.59763694,0.0,1.5645887,-2.7794893,1.0,0.70219755,1.0
-2.098545,0,0.82832295,-5.865088,1.0,-0.38556078,-0.58559847,0.0,-0.65771604,0.0
0.97939706,0,1.7370708,-0.29157823,0.0,1.2231102,-2.3106918,1.0,-0.5476956,0.0
0.74120355,0,-0.4740429,-2.317706,1.0,0.31824943,-1.3018422,1.0,-0.42088184,0.0
0.32766175,0,2.783392,-5.2543435,1.0,0.26678413,-4.7591248,1.0,-1.1926823,0.0
-1.8043848,0,1.1776992,2.177232,0.0,0.16875815,-2.3305614,0.0,-0.74184406,0.0
0.82170105,0,1.6063783,-0.83728373,0.0,0.648465,-5.3695135,1.0,1.0196136,1.0
0.44188094,0,1.2070761,-2.7208347,1.0,-0.10776073,-5.060693,0.0,-1.3151332,0.0
-0.024816394,0,2.8230548,-3.4101627,1.0,0.7915399,-2.544946,0.0,-0.96854717,0.0
