x1,x2,x3,x4,x5,y,x6,x7,x8,x9
2.7383964,-11.352634,1.6248839,10.635607,1.0,0,3.1138926,-1.2517602,1.0,1.0
3.653357,-9.141359,2.6719909,16.245995,1.0,0,5.509858,-1.1539176,1.0,1.0
3.2263103,-8.4408,2.455863,11.028392,1.0,0,-0.18302608,0.46140087,1.0,1.0
2.8549883,-8.356183,2.1308,10.078784,1.0,0,1.4714755,-1.2645766,1.0,1.0
2.2260787,-6.9620914,0.051091075,7.6171036,1.0,0,-0.2439121,-1.080402,1.0,0.0
3.7500086,-7.788776,1.1711,3.9901683,1.0,0,-1.9351536,-2.343492,1.0,0.0
2.9374788,-6.2619543,2.8786807,13.838768,1.0,0,-2.3190732,-3.5782824,1.0,0.0
3.2108703,-6.7951903,1.240946,8.613594,1.0,0,1.2500234,-0.5078143,1.0,1.0
3.1078105,-6.286402,1.7914504,10.858264,1.0,0,-0.8955536,-5.658146,1.0,0.0
2.681553,-13.045755,0.17616665,12.3804035,1.0,0,4.019141,-2.599735,0.0,1.0
2.667478,-8.037115,0.9436807,11.977425,1.0,0,1.441852,-3.605472,1.0,0.0
3.012848,-7.637092,1.5041047,10.211483,1.0,0,3.78302,0.12182212,0.0,1.0
3.816278,-8.31303,1.2227476,7.253063,1.0,0,4.867543,-2.8203082,1.0,1.0
3.2830439,-7.6339226,1.1088154,6.8311844,1.0,0,-0.8116225,-1.3863188,0.0,0.0
3.8014905,-7.2496877,1.9471283,6.5205364,1.0,0,1.8408185,-2.0892916,1.0,0.0
2.6901243,-6.7094903,2.7168758,10.63021,1.0,0,5.637974,-0.4426105,1.0,1.0
2.9140368,-8.150327,2.0605962,9.683826,1.0,0,1.0591298,1.5708996,0.0,1.0
3.5038996,-7.6187153,1.7975434,11.566183,1.0,0,-2.3992002,-0.195364,1.0,0.0
2.0789235,-8.106362,1.0115721,7.972069,0.0,0,-0.7732649,0.16984367,0.0,0.0
2.2260418,-5.2151237,1.0793859,8.763323,1.0,0,7.050724,-2.3086345,1.0,0.0
2.8716512,-10.347091,2.8092256,13.942139,1.0,0,10.85967,-1.3683801,1.0,1.0
2.3103364,-11.842201,2.1731248,13.991567,1.0,0,2.5698788,-1.0321558,1.0,1.0
2.3783333,-9.476099,0.008293629,11.75646,1.0,0,1.5842767,-1.9036316,0.0,1.0
3.3130221,-7.0933995,0.83842385,6.688803,1.0,0,0.7972764,-3.7268775,1.0,0.0
2.7638226,-8.016899,2.8514516,9.496782,1.0,0,-1.6526418,1.2361759,1.0,0.0
2.7797189,-10.182974,1.1002183,14.917997,1.0,0,-1.6141748,-0.8127607,0.0,0.0
2.5704427,-5.844591,0.8480844,9.415688,1.0,0,-2.3746302,-0.011590004,1.0,1.0
3.2970502,-7.447113,0.6009264,9.24758,1.0,0,-3.4220686,-3.1042502,1.0,0.0
2.5961874,-9.340842,0.8086144,9.358505,1.0,0,4.5594673,-1.9258848,1.0,1.0
2.5016341,-4.443243,1.2291152,5.8037777,0.0,0,0.43150192,-2.4498096,0.0,1.0
3.2505121,-5.223538,0.8427303,5.144519,1.0,0,0.6334361,0.4542278,0.0,1.0
3.1506503,-6.9994955,1.4110718,12.254802,1.0,0,2.725314,-2.7789907,1.0,0.0
2.898935,-8.774049,0.7717059,11.982839,1.0,0,6.3073816,-0.010964394,0.0,1.0
3.0846653,-5.4877787,1.572686,7.7351284,1.0,0,-0.58055234,-3.5431285,1.0,0.0
2.6501713,-8.081006,-0.7142693,11.3253975,1.0,0,2.1154227,0.8278252,0.0,0.0
2.0195973,-6.197193,0.20596534,7.1475854,1.0,0,1.4754381,-0.81852865,1.0,1.0
2.927885,-5.094768,0.4337361,3.3346376,1.0,0,-3.646548,-2.4822164,1.0,1.0
3.0865505,-7.085978,2.179608,4.0200663,1.0,0,-2.1725295,-1.5858511,0.0,0.0
2.7531943,-7.565112,0.8191198,13.405007,1.0,0,4.542617,-0.2889619,0.0,1.0
2.976189,-8.198948,-0.021777987,8.925478,1.0,0,4.085272,-4.5234356,0.0,1.0
2.7370787,-12.788248,0.4800951,18.967995,1.0,0,1.7554505,-2.158938,1.0,0.0
2.7431734,-5.4901433,1.5612034,9.036928,0.0,0,-0.8019633,1.0158957,1.0,1.0
3.2684865,-4.387869,2.635588,7.060372,0.0,0,-0.13124388,-2.3976903,1.0,0.0
3.3849719,-7.9309797,2.5914552,13.324963,1.0,0,-1.662885,-2.779533,0.0,0.0
2.7421246,-8.362436,1.0839963,9.777837,1.0,0,-2.912607,-1.7094344,0.0,0.0
2.6727343,-9.352654,0.5106133,11.038494,1.0,0,1.9121748,-0.9369166,1.0,0.0
2.8795533,-11.314518,2.3148415,9.336807,1.0,0,4.2363815,0.013073921,1.0,1.0
2.9647841,-5.800001,3.367899,3.9039478,1.0,0,-3.6468976,-3.372413,1.0,0.0
3.5102744,-9.134497,2.367998,14.481977,1.0,0,3.0743847,-1.3291373,1.0,1.0
3.266517,-7.2583404,2.1033838,9.303258,1.0,0,2.5934792,-3.1411023,0.0,0.0
