x1,x2,y
4.3724623,0.24630299,0
3.061442,1.2601349,0
1.5490791,2.4521909,0
4.890202,-0.07514054,0
1.4727786,1.6217504,0
-2.715948,0.5659334,0
-5.0817375,2.2574604,0
-1.8717854,0.17979482,0
2.2864857,1.2375948,0
-0.70221895,0.4700064,0
1.563936,1.752768,0
2.0090756,1.5688062,0
-5.4278855,1.6195775,0
-0.66342676,0.30931547,0
-0.6485203,0.5204516,0
4.373043,0.11155313,0
-0.124359116,0.7312627,0
2.6009185,1.3781074,0
-0.6329297,0.6551999,0
1.8479128,1.4883051,0
-1.3158228,0.41308457,0
-0.42899323,0.1095908,0
-0.8385123,0.42625815,0
-0.918513,0.59858906,0
4.3742375,0.4880682,0
-2.9367654,0.99426126,0
-1.1766037,0.08805039,0
-3.7177505,1.6841061,0
2.4324524,1.5009489,0
0.83941567,1.633603,0
-1.8534269,-0.19552822,0
-3.0090742,0.6432216,0
3.1850603,0.6301975,0
-2.1223052,0.01935117,0
0.81181526,1.4455848,0
2.7655315,1.1676428,0
1.5396793,1.9735354,0
-1.2420155,0.42859542,0
0.62579775,2.0186481,0
0.19861762,1.4119127,0
-6.1135807,1.5209234,0
5.5675454,0.13086228,0
-0.08359199,1.0765109,0
-0.39068437,0.81158143,0
-3.159594,0.9887994,0
0.66390866,1.4880863,0
1.0904691,2.182217,0
4.959966,-0.21947244,0
-2.1818027,0.22438365,0
-2.6461759,0.66245985,0
