x1,x2,x3,y,x4
1.0,0.07317343,1.0,0,1.4421437
1.0,-0.077344514,1.0,0,1.9956203
0.0,0.3215807,1.0,0,1.326685
1.0,0.4315167,1.0,0,1.7859033
1.0,0.39487103,1.0,0,1.8850337
1.0,0.31962043,1.0,0,2.5704496
0.0,0.075706795,1.0,0,0.9229005
0.0,-0.7213247,0.0,0,-0.5540458
1.0,0.059626523,1.0,0,2.2552295
0.0,-0.10865184,1.0,0,0.6846949
1.0,0.3876613,1.0,0,2.676471
0.0,-0.0300914,0.0,0,-0.32872054
0.0,0.3257529,1.0,0,1.4276648
1.0,0.031885397,1.0,0,1.2315407
1.0,0.14274335,0.0,0,2.0441172
1.0,0.42419514,0.0,0,1.8134563
1.0,-0.4069987,0.0,0,0.48737127
1.0,-0.21375358,0.0,0,0.44642898
0.0,-0.23033763,0.0,0,-0.5959526
0.0,0.102088414,1.0,0,1.3895394
1.0,0.35580158,1.0,0,1.8356507
0.0,-0.25763986,1.0,0,0.46286064
1.0,0.28313637,0.0,0,1.9236281
1.0,0.13565437,1.0,0,2.1738796
1.0,-0.5471442,0.0,0,0.66989464
1.0,0.2638098,1.0,0,1.6849043
1.0,-0.17156544,0.0,0,1.2125089
1.0,-0.32920766,0.0,0,0.4052626
1.0,0.49261373,1.0,0,2.232497
1.0,-0.7157308,0.0,0,-0.568694
0.0,0.0007937014,1.0,0,1.7980697
1.0,0.10704579,1.0,0,1.7109513
1.0,-0.005535878,0.0,0,1.4070235
0.0,0.19894153,0.0,0,0.121501245
0.0,0.5187026,1.0,0,1.5307324
1.0,0.14621651,1.0,0,1.9564627
1.0,-0.030698694,1.0,0,1.4649162
1.0,0.049603138,0.0,0,0.640827
0.0,-0.49006256,1.0,0,0.5374526
0.0,-0.13843293,1.0,0,0.18280172
1.0,0.14249833,1.0,0,2.7509441
1.0,-0.17157955,1.0,0,1.6360685
0.0,0.051939715,1.0,0,0.9579354
0.0,0.16583614,0.0,0,0.74266213
0.0,-0.0815837,0.0,0,-1.2532786
0.0,0.33050025,1.0,0,1.5100591
0.0,0.24933822,1.0,0,1.0593088
0.0,0.31478342,0.0,0,-0.15105858
0.0,0.44155934,0.0,0,-0.079586476
0.0,-0.07238875,0.0,0,-0.08622226
