y,x1,x2,x3,x4
1.0,-3.4321985,-0.57622355,-1.36888,0.0
1.0,-2.5519977,-0.7417215,-0.33652973,1.0
0.0,-5.0752416,1.1703612,-0.7063018,0.0
1.0,-5.8802633,0.22937238,0.24328214,0.0
1.0,-3.1243942,-0.6789807,-1.327626,0.0
1.0,-3.9316096,-0.74318814,0.2037763,1.0
1.0,-0.97015214,-1.7522546,-0.038063884,1.0
1.0,-3.8980255,-1.2271783,-1.1982712,1.0
0.0,-5.438612,1.2571163,-1.8121133,0.0
0.0,-3.4037457,1.5981776,-2.9886756,0.0
0.0,-2.787326,1.5233259,-2.3816419,1.0
0.0,-3.798886,0.3833993,-2.0178382,1.0
1.0,-1.9423777,-0.6532096,-0.23533814,0.0
1.0,-1.8315789,-1.4580412,-0.8536768,1.0
0.0,-1.9784057,1.3877968,-0.07652831,0.0
0.0,-5.5035686,1.0945328,-1.6746104,1.0
1.0,-2.6319926,-1.3744099,-1.6232047,1.0
0.0,-4.6747227,1.194693,-3.8894916,0.0
1.0,-3.3881307,-0.12643135,-0.16696224,0.0
0.0,-4.2328057,0.64172316,-1.5844432,0.0
1.0,-2.2375162,-0.8666773,0.35675585,0.0
1.0,-4.5250287,-0.6723179,-0.7542665,0.0
1.0,-5.7341013,-0.5192232,0.82295036,0.0
1.0,-0.7362993,-0.7051988,-0.15156037,0.0
0.0,-3.5490582,1.3402096,-3.30952,1.0
0.0,-6.6902766,1.646693,-2.8844297,0.0
0.0,-1.6400545,2.187505,-0.08385098,0.0
0.0,-4.303697,1.2849947,-2.1181228,0.0
1.0,-0.9927838,-0.40898833,-1.0927086,1.0
1.0,-5.353368,-0.75443035,-0.4200666,0.0
1.0,-2.7677197,-0.57160527,-0.24297202,1.0
0.0,-3.962474,1.5182141,-1.6338472,0.0
1.0,-2.6565137,-0.8775705,-0.5262148,1.0
1.0,-0.86439514,-0.08777338,0.61033887,1.0
1.0,-1.2320685,0.104195535,-0.9785139,0.0
1.0,-3.7350209,-0.7707616,-0.62899625,0.0
1.0,-4.301297,-0.4604414,0.32013923,0.0
0.0,-3.5297005,1.9993448,-0.9839834,0.0
0.0,-5.137953,1.0003794,-1.639012,1.0
1.0,-3.563054,-1.1701114,0.16096449,1.0
1.0,-3.6564848,-0.9491576,0.17819524,0.0
0.0,-5.3054476,1.6734322,-3.8616931,1.0
1.0,-2.7677,-1.4926314,1.3451307,0.0
0.0,-3.8609886,0.55867666,-2.9149876,1.0
1.0,-2.1964056,-0.14329839,0.7100405,1.0
0.0,-5.028557,0.9727237,-1.5763308,1.0
1.0,-2.6987374,-1.3587301,-0.63228667,0.0
0.0,-3.2551284,1.1665465,-0.2083708,1.0
0.0,-4.539775,1.7866969,-0.45543838,0.0
1.0,-6.7895985,-0.58655196,0.24318051,0.0
0.0,-5.4858675,1.2928764,-3.413389,1.0
0.0,-5.497532,0.8136215,-2.1072462,0.0
0.0,-4.405881,0.86086905,-2.0283606,0.0
0.0,-2.2965646,1.1597204,-1.9378294,1.0
1.0,-0.44766855,-1.275723,0.22584921,1.0
1.0,-3.0012298,-0.051592648,-1.2477146,0.0
0.0,-5.517861,0.98946536,-1.592824,1.0
0.0,-4.8959947,1.718966,-3.2128074,1.0
0.0,-5.1217527,1.1523715,-2.3780615,1.0
1.0,-2.2529626,-1.1361644,-1.4171889,1.0
0.0,-5.7892227,1.108976,-2.9022331,1.0
0.0,-3.596866,1.157594,-2.6365862,1.0
0.0,-6.003333,1.264134,-2.3071065,1.0
0.0,-3.6486654,0.86689436,-2.3649685,1.0
0.0,-8.07335,0.9932529,-2.3383734,1.0
1.0,-3.7137568,-1.0023032,0.08138135,0.0
1.0,-3.4056103,-1.207074,-1.3340797,1.0
1.0,-4.541006,-0.030502915,-0.23123372,0.0
1.0,-3.5640132,-0.61766267,0.1140064,0.0
0.0,-3.5368905,1.0565732,-1.7396715,1.0
1.0,-3.3094168,-0.49756837,-0.22287585,0.0
1.0,-2.12434,-0.26117504,0.0014486313,1.0
0.0,-4.157416,1.0881671,-2.406633,0.0
1.0,-2.6702406,0.025445104,-0.37142155,0.0
1.0,0.56754684,-1.3220055,-0.17089161,0.0
0.0,-2.0592544,0.87925935,-2.1570923,1.0
1.0,-2.405927,-1.1406714,-2.5663095,1.0
1.0,-2.8880694,-0.5686794,-1.9236004,0.0
0.0,-5.1154475,0.5624241,-3.0008187,1.0
0.0,-4.332545,1.4919401,-0.65365493,1.0
1.0,-2.327142,-0.48877102,-2.1325195,1.0
0.0,-5.7149944,0.62058663,-2.0768278,1.0
