"x2","x3","x4","x5","x6","x7","x8","x9","dist_x_interest","no_changed","dist_train","dist_x_interest_all","no_changed_all","id","job.id","problem","algorithm","dataset","n_synth","node_selector","weight_coverage","weight_proximity","cf_method"
1.7340052,1,-7.682443,0,0,-2.19870739823305,-1.1622453,-5.0756245,0.0327127592931796,1,0.0273842339232767,0.0327127592931796,1,1,24,"sim","cfs","bn_10","NA","NA","NA","NA","MOC"
5.2174244,0,-7.917998,0,0,-1.93076506251732,-1.3102309,-9.297704,0.0312646396659656,1,0.0227110050988123,0.0455551588636376,2,2,24,"sim","cfs","bn_10","NA","NA","NA","NA","MOC"
4.44181132410871,0,-7.917998,0,0,-1.83590673469201,-1.3102309,-4.48236759455162,0.0824475404646665,3,0.0217450594363113,0.0455551588636376,2,2,24,"sim","cfs","bn_10","NA","NA","NA","NA","MOC"
5.2174244,0,-7.97620213928933,0,0,-1.70182675248383,-1.3102309,-9.297704,0.0229532964602808,2,0.0225007850802918,0.0455551588636376,2,2,24,"sim","cfs","bn_10","NA","NA","NA","NA","MOC"
5.5692674348388,1,-7.52247014529386,0,0,-1.8027325,-0.14145084,-5.9130855,0.0499104811023887,2,0.0184481740387208,0.0499104811023887,2,3,24,"sim","cfs","bn_10","NA","NA","NA","NA","MOC"
1.7394541319653,1,-8.109118,0,0,-1.89399325088332,-1.1554161,-7.3065085,0.0205031256741127,2,0.012120630678329,0.0189881607425016,1.8,4,24,"sim","cfs","bn_10","NA","NA","NA","NA","MOC"
1.87229782088539,1,-8.109118,0.000348362711959777,0,-1.86475502484364,-1.1554161,-7.3065085,0.020066642909035,3,0.0135841237435386,0.0189881607425016,1.8,4,24,"sim","cfs","bn_10","NA","NA","NA","NA","MOC"
5.90698852896223,1,-8.109118,0,0,-1.5808265,-1.1554161,-7.3065085,0.029528750432614,1,0.00827529448554474,0.0189881607425016,1.8,4,24,"sim","cfs","bn_10","NA","NA","NA","NA","MOC"
0.1862526,1,-8.109118,0,0,-1.81369379867791,-1.1554161,-7.3065085,0.00928441877018742,1,0.0137451088423204,0.0189881607425016,1.8,4,24,"sim","cfs","bn_10","NA","NA","NA","NA","MOC"
0.186096798816497,1,-8.109118,0,0,-1.97102119385912,-1.1554161,-7.3065085,0.0155578659265591,2,0.0136406084405448,0.0189881607425016,1.8,4,24,"sim","cfs","bn_10","NA","NA","NA","NA","MOC"
-1.0098784,1,-7.65538072591061,0,0,-2.39704674551922,-1.2309084,-6.595621,0.0565323632733045,2,0.0260999928736768,0.0565323632733045,2,5,24,"sim","cfs","bn_10","NA","NA","NA","NA","MOC"
2.3735442,0,-7.6205893956903,0,0,-2.1978798,-0.10894938,-7.8200903,0.0245948613859516,1,0.0214011354363902,0.0295388887482506,1.4,6,24,"sim","cfs","bn_10","NA","NA","NA","NA","MOC"
2.3735442,0,-7.6205893956903,0,0,-1.78560690137936,-0.10894938,-7.8200903,0.0410321810960382,2,0.0151586501915983,0.0295388887482506,1.4,6,24,"sim","cfs","bn_10","NA","NA","NA","NA","MOC"
