x1,x2,x3,y,x4
0.0,0.15809959,1.0,0.0,0.6123674
0.0,-0.34166738,0.0,1.0,0.31550834
1.0,0.059117235,1.0,0.0,2.33956
1.0,-0.026951415,1.0,0.0,1.7788924
0.0,-0.19606173,0.0,1.0,0.75303173
0.0,0.45917526,1.0,1.0,2.3268173
0.0,-0.34676483,1.0,1.0,1.3701298
0.0,-0.11397754,0.0,1.0,1.1266332
1.0,-0.17977662,1.0,0.0,2.6558502
1.0,-0.0044879923,1.0,0.0,0.7113874
0.0,-0.3608569,1.0,0.0,0.47988564
0.0,0.0008039842,1.0,1.0,2.2929661
1.0,-0.19597581,1.0,1.0,2.6620417
0.0,-0.42110142,1.0,0.0,0.7667326
1.0,0.14795637,1.0,1.0,3.0217872
1.0,0.36195993,1.0,1.0,2.934137
1.0,0.12047193,1.0,0.0,2.2980027
0.0,0.49868724,1.0,0.0,2.007444
0.0,-0.25755784,0.0,0.0,-0.99439275
1.0,-0.28481433,0.0,1.0,1.7135834
0.0,0.21595362,1.0,1.0,2.3814867
0.0,0.33543715,0.0,0.0,-0.09415963
1.0,0.19958565,1.0,0.0,2.4569793
1.0,-0.27303427,1.0,0.0,1.9086969
1.0,0.22311324,0.0,0.0,1.3213013
0.0,0.0038402735,1.0,1.0,1.8877913
1.0,-0.22297786,1.0,0.0,1.8310683
0.0,0.112246,1.0,1.0,1.2115917
1.0,-0.0011979823,1.0,1.0,3.291951
0.0,0.36451158,1.0,1.0,1.8544114
1.0,0.7280917,1.0,1.0,3.4748075
0.0,-0.10404862,1.0,0.0,1.270686
1.0,0.12779719,1.0,1.0,3.0932794
0.0,0.12066639,0.0,0.0,0.92525375
1.0,0.15986407,1.0,1.0,2.7585874
1.0,0.47744355,1.0,1.0,2.790876
0.0,-0.5822008,1.0,0.0,0.3042766
0.0,0.106917895,1.0,0.0,1.4791666
1.0,0.28874806,1.0,1.0,3.4694276
0.0,0.63481975,0.0,1.0,1.9485207
1.0,0.4637456,1.0,0.0,2.703485
1.0,-0.45271298,0.0,0.0,1.6666151
0.0,-0.15884694,0.0,1.0,1.1049252
0.0,-0.27046356,0.0,0.0,-0.593156
0.0,0.40879837,0.0,1.0,0.7964724
1.0,-0.3561728,0.0,0.0,0.26790407
0.0,-0.16563533,0.0,0.0,-0.4774229
0.0,-0.03897245,0.0,0.0,0.1572411
1.0,0.04037071,1.0,0.0,2.6462219
1.0,0.09248711,1.0,0.0,2.1310797
1.0,-0.10832256,1.0,1.0,3.2692041
1.0,-0.27572376,0.0,0.0,1.6108439
1.0,0.024006886,1.0,1.0,2.2277298
0.0,-0.17991322,0.0,1.0,0.82904464
1.0,-0.27938834,1.0,1.0,2.550936
0.0,0.44521245,1.0,0.0,1.4846907
1.0,-0.16872087,1.0,0.0,2.8495226
0.0,-0.2559308,0.0,0.0,-1.2418579
0.0,0.3879777,1.0,0.0,1.7521814
1.0,0.37066728,1.0,0.0,3.0060484
0.0,0.22897382,1.0,1.0,2.1393647
0.0,0.057944853,0.0,1.0,0.6099609
0.0,0.47376904,0.0,0.0,0.12812543
1.0,-0.029566767,1.0,1.0,3.2652993
0.0,0.0966946,1.0,0.0,0.3290221
0.0,-0.10871214,0.0,1.0,-0.110251844
1.0,0.046561353,1.0,0.0,1.3248847
1.0,-0.404533,0.0,1.0,1.8311417
1.0,0.36167416,0.0,0.0,2.1261733
1.0,0.20352267,0.0,1.0,2.3173912
0.0,-0.35022032,0.0,0.0,-0.18559164
1.0,0.1075644,1.0,1.0,3.322493
1.0,-0.1041817,1.0,1.0,3.4540186
1.0,0.70387447,1.0,1.0,4.2770557
0.0,-0.11848303,0.0,1.0,0.6727039
1.0,-0.40892076,1.0,1.0,1.759098
1.0,-0.35682935,0.0,0.0,1.0319366
1.0,-0.1945468,1.0,1.0,2.349944
1.0,-0.28201097,1.0,0.0,1.6344147
1.0,-0.31341752,0.0,0.0,0.7504895
1.0,-0.0909806,1.0,1.0,3.1920526
0.0,0.15075538,1.0,0.0,0.88803226
0.0,0.17791615,0.0,1.0,1.0638602
1.0,0.078112915,1.0,0.0,1.8544652
1.0,-0.39584,0.0,0.0,1.126301
1.0,0.10530041,1.0,0.0,2.3705034
1.0,-0.13083315,0.0,0.0,0.30036658
0.0,-0.13285263,0.0,0.0,-0.103304595
0.0,0.3276162,0.0,1.0,1.5599673
1.0,0.22229157,1.0,1.0,3.2002823
0.0,-0.22964282,1.0,1.0,1.6436839
0.0,-0.2943939,1.0,0.0,0.3550915
1.0,-0.50808126,1.0,1.0,2.0405037
1.0,-0.26601356,0.0,0.0,0.55360913
0.0,0.28594494,1.0,1.0,1.9398284
1.0,-0.3137962,0.0,1.0,1.4051307
1.0,-0.37461668,1.0,1.0,1.618363
1.0,-0.34922448,1.0,0.0,2.3865423
1.0,-0.42395464,1.0,0.0,2.433216
0.0,-0.22060764,0.0,0.0,0.2998761
1.0,-0.1378477,1.0,0.0,2.8612595
0.0,-0.55374867,1.0,0.0,0.92546177
0.0,0.12957403,0.0,0.0,0.2107211
1.0,-0.13465755,1.0,0.0,1.008312
1.0,0.19823344,1.0,0.0,1.3028002
1.0,-0.39493746,1.0,0.0,0.81750757
0.0,-0.12696816,0.0,0.0,-0.15085757
1.0,-0.15838495,0.0,1.0,1.2185502
1.0,0.08138658,1.0,1.0,3.2204022
1.0,0.1307112,0.0,1.0,2.1924913
0.0,-0.27895418,0.0,0.0,-0.2699397
1.0,0.035093084,0.0,0.0,0.6362475
0.0,0.34485805,1.0,0.0,2.0957031
0.0,0.11659124,0.0,1.0,0.6837572
0.0,-0.5005715,1.0,1.0,2.0232468
0.0,-0.34100032,1.0,1.0,2.4550972
0.0,-0.022268396,0.0,1.0,1.0965163
0.0,0.16324235,1.0,1.0,2.3740094
1.0,-0.024243696,1.0,0.0,1.2843596
1.0,-0.3196866,1.0,1.0,2.0540092
0.0,-0.6030158,0.0,1.0,0.45024958
1.0,-0.235179,1.0,0.0,1.5014181
0.0,-0.020278983,0.0,1.0,-0.2306816
0.0,-0.19548668,0.0,0.0,0.961553
0.0,-0.15695567,0.0,1.0,-0.10894948
1.0,-0.47814688,0.0,0.0,0.49290618
1.0,-0.09730255,1.0,1.0,3.3430173
0.0,0.017372161,1.0,0.0,0.42329055
0.0,-0.05657674,1.0,0.0,0.3160181
1.0,0.25532597,1.0,0.0,1.4881705
