x1,x2,y
-4.1722593,1.7358222,0.0
1.796466,1.9802707,0.0
-2.6749258,-1.1382318,1.0
0.49241647,1.3724017,0.0
-0.56877685,-1.6375233,1.0
-1.4324021,-1.5710872,1.0
-4.643119,2.4373295,0.0
-1.1285946,-1.8567675,1.0
1.1974025,-0.3381739,1.0
4.485556,-1.7140248,1.0
0.5717035,-0.7094273,1.0
7.0704336,-0.5539965,1.0
-4.679626,1.8222018,0.0
-0.076972134,0.8900606,0.0
3.7623308,-1.4586297,1.0
-0.48586866,1.0269549,0.0
5.2238884,-1.5695689,1.0
2.192041,-0.116702944,1.0
-4.088666,0.28522065,1.0
-0.14574789,0.40563056,0.0
-2.1971974,0.55887866,0.0
-2.6080413,0.31159076,0.0
1.5747873,0.014714863,1.0
1.3370557,1.2078846,0.0
5.6906157,-1.4605409,1.0
-1.4369891,0.16235901,0.0
2.866988,1.2322872,0.0
-0.93218833,0.40223584,0.0
3.2411437,1.089343,0.0
5.52504,0.20466155,0.0
-1.4225125,-1.8666029,1.0
-4.6571474,0.0552477,1.0
3.0858793,0.77281797,0.0
4.33211,0.35051942,0.0
1.9741335,1.7771739,0.0
1.5769725,-0.67361075,1.0
-0.5516448,-1.3965516,1.0
0.09550387,-1.2353135,1.0
1.1152408,-0.17230335,1.0
1.9379479,1.5057456,0.0
1.821508,0.055587098,1.0
-3.977867,1.5273781,0.0
-2.8673563,0.5633024,0.0
3.172854,0.7683858,0.0
-0.93215793,-0.1974689,0.0
5.383058,-0.009560034,0.0
-1.3799933,0.12316228,0.0
1.9666027,-0.25562453,1.0
1.4353119,2.0445468,0.0
0.7252001,1.7293918,0.0
4.539799,0.4541483,0.0
2.9975927,-0.5649821,1.0
-0.35787052,0.99790895,0.0
5.850093,-0.83216083,1.0
2.4656625,1.8587459,0.0
-2.4854755,0.43754414,0.0
1.1002542,-0.50880516,1.0
0.44342846,-0.5007485,1.0
3.0504816,-1.3674634,1.0
-3.5344915,-0.93053865,1.0
4.050065,0.3970265,0.0
-3.3251343,1.5513892,0.0
3.1058192,-1.3467705,1.0
-0.4142603,0.6375238,0.0
0.46338677,0.8077394,0.0
1.3532069,0.007340761,1.0
4.5305758,-1.8693763,1.0
-0.6518344,0.49593192,0.0
1.2619491,2.0440419,0.0
-1.2019575,-2.1204681,1.0
0.39962348,0.78089184,0.0
-4.1450167,0.039196774,1.0
0.047435105,-1.422735,1.0
3.2476978,0.57259345,0.0
0.10301339,1.1314244,0.0
-0.13254562,0.96355826,0.0
-0.6003735,-1.5433426,1.0
3.3083355,-1.4757556,1.0
5.2334514,-1.6142719,1.0
4.118287,-0.05671203,0.0
1.989744,0.14928216,1.0
2.9813776,1.8392648,0.0
-2.372024,-1.2970061,1.0
1.9191788,2.0298247,0.0
2.0974379,-0.0840379,1.0
3.3091893,-1.4740894,1.0
1.1337606,-0.12461209,1.0
-2.8464959,-1.1663529,1.0
-0.65785205,0.6196234,0.0
-3.7226782,-0.6072503,1.0
-0.61145604,0.3112927,0.0
-4.615666,1.8407485,0.0
0.47807688,1.5577676,0.0
0.5087315,-0.66665643,1.0
1.2252799,0.19321045,1.0
-4.706541,1.8420316,0.0
0.4326962,1.2457794,0.0
-0.3332939,-1.4343867,1.0
-0.7679188,0.1504254,0.0
-0.39943573,0.1014483,0.0
0.9947685,1.5892329,0.0
-0.7139044,-1.4439975,1.0
5.49338,-1.9775158,1.0
3.763183,0.40436828,0.0
-3.3423107,1.0642891,0.0
1.675203,1.2703484,0.0
1.0876871,-0.23649493,1.0
-2.2320876,0.25717217,0.0
0.71305174,2.2377658,0.0
2.4276514,0.14498836,1.0
1.4446527,1.7192925,0.0
-0.6432752,0.49382943,0.0
-2.3844614,0.2828659,0.0
-0.58239174,-1.7182136,1.0
-0.6533275,0.54530686,0.0
-2.086482,0.48452595,0.0
-2.2707024,-1.821875,1.0
-2.2598393,0.0066147298,0.0
2.1071959,-0.30228844,1.0
