x1,x2,x3,x4,x5,x6,x7,y,x8,x9
0.38400912,-2.6085863,0.0,0.0,2.2244487,6.8697515,1.0,1.0,-2.5867224,2.8303356
-3.0229046,1.1225419,0.0,0.0,1.1491163,5.706606,0.0,0.0,-0.3731394,-1.8088644
-2.711852,0.37214902,0.0,0.0,-10.320999,3.590447,0.0,1.0,1.8208021,1.1254722
-2.5255826,0.2712124,0.0,0.0,-1.7658132,6.373164,0.0,1.0,-0.5947739,-0.7386502
-1.4074974,-1.8485496,0.0,0.0,-4.1003437,3.723379,0.0,1.0,0.38601565,0.18207633
-2.3530383,-0.047002614,0.0,0.0,-2.1539025,6.7799873,0.0,1.0,-0.39229888,-2.045033
-3.585194,0.13148856,0.0,0.0,-7.809269,5.5292726,0.0,1.0,0.20465767,0.16027978
0.45471776,-2.857439,1.0,0.0,0.7058208,9.017306,1.0,1.0,-0.32760817,-1.8552368
0.05300963,-2.5979712,0.0,0.0,0.14290643,4.8749733,1.0,1.0,-1.3542628,1.7102575
-2.273458,-0.04455352,0.0,0.0,-3.8521395,6.241331,0.0,1.0,0.036395043,2.6459367
-0.3743543,-2.9024823,0.0,0.0,-5.0364084,5.041585,1.0,0.0,0.44775075,1.1955845
1.348938,-5.325665,0.0,0.0,-6.811204,5.880257,1.0,1.0,-0.9474807,2.893803
-1.269602,0.055133462,0.0,0.0,-0.8527571,7.7586565,0.0,1.0,-0.20024449,2.6095111
0.298079,-3.5873284,1.0,0.0,-3.3596046,8.709801,1.0,1.0,0.35138035,1.0028741
-2.0756955,-1.1308074,0.0,0.0,-1.530517,6.406358,1.0,1.0,0.26677585,-2.3148878
-1.3068904,-2.2327132,0.0,0.0,4.8355956,6.5903254,1.0,1.0,-0.033303916,-1.6655375
-1.4020181,-0.50869334,0.0,0.0,0.9921806,4.2684975,1.0,1.0,0.36688566,0.61901796
0.77509534,-3.680151,0.0,0.0,-1.4503621,5.5053473,1.0,1.0,-0.30258435,1.8167763
-3.0604992,1.276536,0.0,0.0,-0.14589345,5.8511233,0.0,1.0,0.39362293,-1.8839114
-0.40071827,-2.884614,0.0,0.0,-3.498276,5.0199423,1.0,1.0,0.2340163,4.848771
-2.4057012,-0.35915822,0.0,0.0,-0.26900005,3.0975575,0.0,1.0,-0.18266042,1.8050258
0.11652243,-2.5118837,0.0,0.0,-7.6327314,4.052728,1.0,1.0,-0.6325886,-2.6839585
0.4265318,-3.0833104,0.0,0.0,-1.2370813,4.441856,1.0,0.0,-1.0593334,1.094584
-1.7676053,-1.2727653,0.0,0.0,-0.7527629,4.076709,0.0,0.0,-2.32902,-0.14836556
-0.7662693,-1.7969288,0.0,0.0,-0.18558168,5.7911744,1.0,1.0,-0.299894,-1.2471406
-3.7327135,2.3669634,0.0,0.0,-3.3413668,4.168429,0.0,1.0,2.3103623,0.8789674
-2.2229826,-0.8534194,0.0,0.0,-6.9287624,3.9943428,0.0,1.0,-0.10142809,4.073283
-0.01484108,-3.5479417,0.0,0.0,0.04807949,8.414629,0.0,1.0,-0.92827684,-0.21420887
