x2,x3,y,x4
0.15809959,1.0,0,0.6123674
-0.34166738,0.0,1,0.31550834
0.059117235,1.0,0,2.33956
-0.026951415,1.0,0,1.7788924
-0.19606173,0.0,1,0.75303173
0.45917526,1.0,1,2.3268173
-0.34676483,1.0,1,1.3701298
-0.11397754,0.0,1,1.1266332
-0.17977662,1.0,0,2.6558502
-0.0044879923,1.0,0,0.7113874
-0.3608569,1.0,0,0.47988564
0.0008039842,1.0,1,2.2929661
-0.19597581,1.0,1,2.6620417
-0.42110142,1.0,0,0.7667326
0.14795637,1.0,1,3.0217872
0.36195993,1.0,1,2.934137
0.12047193,1.0,0,2.2980027
0.49868724,1.0,0,2.007444
-0.25755784,0.0,0,-0.99439275
-0.28481433,0.0,1,1.7135834
0.21595362,1.0,1,2.3814867
0.33543715,0.0,0,-0.09415963
0.19958565,1.0,0,2.4569793
-0.27303427,1.0,0,1.9086969
0.22311324,0.0,0,1.3213013
0.0038402735,1.0,1,1.8877913
-0.22297786,1.0,0,1.8310683
0.112246,1.0,1,1.2115917
-0.0011979823,1.0,1,3.291951
0.36451158,1.0,1,1.8544114
0.7280917,1.0,1,3.4748075
-0.10404862,1.0,0,1.270686
0.12779719,1.0,1,3.0932794
0.12066639,0.0,0,0.92525375
0.15986407,1.0,1,2.7585874
0.47744355,1.0,1,2.790876
-0.5822008,1.0,0,0.3042766
0.106917895,1.0,0,1.4791666
0.28874806,1.0,1,3.4694276
0.63481975,0.0,1,1.9485207
0.4637456,1.0,0,2.703485
-0.45271298,0.0,0,1.6666151
-0.15884694,0.0,1,1.1049252
-0.27046356,0.0,0,-0.593156
0.40879837,0.0,1,0.7964724
-0.3561728,0.0,0,0.26790407
-0.16563533,0.0,0,-0.4774229
-0.03897245,0.0,0,0.1572411
0.04037071,1.0,0,2.6462219
0.09248711,1.0,0,2.1310797
-0.10832256,1.0,1,3.2692041
-0.27572376,0.0,0,1.6108439
0.024006886,1.0,1,2.2277298
-0.17991322,0.0,1,0.82904464
-0.27938834,1.0,1,2.550936
0.44521245,1.0,0,1.4846907
-0.16872087,1.0,0,2.8495226
-0.2559308,0.0,0,-1.2418579
0.3879777,1.0,0,1.7521814
0.37066728,1.0,0,3.0060484
0.22897382,1.0,1,2.1393647
0.057944853,0.0,1,0.6099609
0.47376904,0.0,0,0.12812543
-0.029566767,1.0,1,3.2652993
0.0966946,1.0,0,0.3290221
-0.10871214,0.0,1,-0.110251844
0.046561353,1.0,0,1.3248847
-0.404533,0.0,1,1.8311417
0.36167416,0.0,0,2.1261733
0.20352267,0.0,1,2.3173912
-0.35022032,0.0,0,-0.18559164
0.1075644,1.0,1,3.322493
-0.1041817,1.0,1,3.4540186
0.70387447,1.0,1,4.2770557
-0.11848303,0.0,1,0.6727039
-0.40892076,1.0,1,1.759098
-0.35682935,0.0,0,1.0319366
-0.1945468,1.0,1,2.349944
-0.28201097,1.0,0,1.6344147
-0.31341752,0.0,0,0.7504895
-0.0909806,1.0,1,3.1920526
0.15075538,1.0,0,0.88803226
0.17791615,0.0,1,1.0638602
0.078112915,1.0,0,1.8544652
-0.39584,0.0,0,1.126301
0.10530041,1.0,0,2.3705034
-0.13083315,0.0,0,0.30036658
-0.13285263,0.0,0,-0.103304595
0.3276162,0.0,1,1.5599673
0.22229157,1.0,1,3.2002823
-0.22964282,1.0,1,1.6436839
-0.2943939,1.0,0,0.3550915
-0.50808126,1.0,1,2.0405037
-0.26601356,0.0,0,0.55360913
0.28594494,1.0,1,1.9398284
-0.3137962,0.0,1,1.4051307
-0.37461668,1.0,1,1.618363
-0.34922448,1.0,0,2.3865423
-0.42395464,1.0,0,2.433216
-0.22060764,0.0,0,0.2998761
-0.1378477,1.0,0,2.8612595
-0.55374867,1.0,0,0.92546177
0.12957403,0.0,0,0.2107211
-0.13465755,1.0,0,1.008312
0.19823344,1.0,0,1.3028002
-0.39493746,1.0,0,0.81750757
-0.12696816,0.0,0,-0.15085757
-0.15838495,0.0,1,1.2185502
0.08138658,1.0,1,3.2204022
0.1307112,0.0,1,2.1924913
-0.27895418,0.0,0,-0.2699397
0.035093084,0.0,0,0.6362475
0.34485805,1.0,0,2.0957031
0.11659124,0.0,1,0.6837572
-0.5005715,1.0,1,2.0232468
-0.34100032,1.0,1,2.4550972
-0.022268396,0.0,1,1.0965163
0.16324235,1.0,1,2.3740094
-0.024243696,1.0,0,1.2843596
-0.3196866,1.0,1,2.0540092
-0.6030158,0.0,1,0.45024958
-0.235179,1.0,0,1.5014181
-0.020278983,0.0,1,-0.2306816
-0.19548668,0.0,0,0.961553
-0.15695567,0.0,1,-0.10894948
-0.47814688,0.0,0,0.49290618
-0.09730255,1.0,1,3.3430173
0.017372161,1.0,0,0.42329055
-0.05657674,1.0,0,0.3160181
0.25532597,1.0,0,1.4881705
-0.5459827,0.0,0,0.22903654
-0.1405725,0.0,0,-0.74928826
-0.629381,1.0,1,1.7634983
0.48300534,1.0,1,3.6858945
-0.17557034,1.0,1,3.4364946
-0.4322836,1.0,0,2.029742
0.26818824,0.0,1,1.2283442
0.05633649,1.0,1,2.274609
0.49580964,1.0,0,2.4912057
0.13077526,1.0,0,1.0766294
0.26743838,1.0,1,2.7882628
0.01684342,0.0,0,1.4874666
-0.2589165,0.0,1,0.3094332
0.22471271,1.0,1,2.1170554
0.33891058,0.0,0,0.6124072
-0.29082876,0.0,1,2.3253565
-0.34235838,1.0,0,0.5462092
-0.20682788,0.0,1,1.3215312
0.2863851,1.0,0,0.8630962
-0.36638668,0.0,0,-0.6873383
-0.040531956,0.0,0,-0.022507885
-0.41470852,1.0,0,1.0619391
-0.12370551,1.0,1,2.1245747
0.041772567,1.0,1,4.237944
-0.079045765,0.0,1,1.8797528
-0.55376846,1.0,0,0.4417936
-0.11755151,0.0,0,0.8580226
-0.058449686,1.0,0,2.3263834
0.044105124,1.0,1,1.9141465
-0.119902276,1.0,1,1.382437
0.08556706,1.0,1,1.8180021
0.15432641,1.0,1,3.2066019
0.13382274,1.0,0,2.6806307
-0.26219007,0.0,1,1.5230477
-0.023856709,1.0,0,1.3532972
-0.2169297,1.0,0,2.8569498
0.20047785,1.0,1,0.9101585
-0.11940026,1.0,1,1.5193456
0.2928348,0.0,1,1.5347502
0.0012213194,1.0,1,2.932458
-0.14468934,1.0,1,2.3710601
-0.17371449,1.0,1,2.775376
0.14496806,1.0,1,2.9293437
0.20188136,0.0,0,0.6447737
-0.31945437,0.0,0,-0.38811803
-0.09995143,0.0,0,0.3109678
0.022220701,0.0,0,0.6241727
0.23653175,0.0,0,-0.3128578
-0.5768058,0.0,0,0.38798127
0.093167886,0.0,1,1.9843112
-0.12301173,1.0,1,2.7157521
-0.2904658,1.0,0,1.4759705
0.39170113,1.0,0,1.8102491
-0.20743099,0.0,0,0.46491358
0.31405494,1.0,0,1.7321953
-0.11767645,1.0,1,2.9013479
-0.117307715,0.0,0,0.34896266
-0.054769028,1.0,0,2.2910452
0.31625742,0.0,0,-0.43151975
0.15178949,0.0,0,0.3288646
-0.19434166,1.0,0,1.8525231
0.096409686,0.0,1,1.04822
0.007410547,0.0,1,0.88268274
-0.10651265,1.0,0,1.7150134
0.04615905,1.0,1,3.0831425
0.30413806,1.0,0,1.9631658
-0.20265795,0.0,1,1.9934791
0.2185038,1.0,1,2.207274
-0.48992464,0.0,0,-0.7440483
-0.30680323,0.0,0,1.1382662
0.10857608,0.0,0,0.33895704
-0.2226205,1.0,1,3.1238456
0.20744264,1.0,1,3.4450974
0.28250983,1.0,0,2.343642
0.5459996,0.0,0,1.2517453
0.09658303,0.0,1,1.348743
0.32978976,1.0,1,1.7346256
0.3163547,0.0,1,2.5612357
-0.064714365,0.0,0,1.5725281
-0.5264911,1.0,0,1.097558
-0.24953103,1.0,0,1.6694409
-0.033887483,0.0,1,0.97786075
-0.031456452,0.0,1,0.37868655
-0.23052485,1.0,1,1.2475717
0.1951076,1.0,0,3.1018043
0.24126446,1.0,0,2.1366
-0.16265726,0.0,1,0.7122746
0.15389897,0.0,1,2.0737998
0.2850845,0.0,1,1.8296034
-0.2353227,0.0,1,1.1638632
0.02851096,0.0,1,1.6184466
0.46282363,1.0,1,3.1818507
-0.5872681,1.0,1,1.9005802
-0.12660336,1.0,1,2.007809
0.4521273,1.0,0,1.5450641
-0.11883485,0.0,0,-0.59776974
-0.5416471,0.0,1,1.0393612
0.64876485,1.0,0,2.7413878
0.065879546,0.0,0,1.1181848
0.3828213,1.0,1,2.125748
-0.04739387,0.0,1,1.8947599
-0.48970786,0.0,1,1.4141481
0.117873535,1.0,1,2.058928
0.17392373,1.0,0,2.5555198
-0.15518045,1.0,1,1.7812266
-0.07819575,0.0,1,0.968598
0.39871222,1.0,1,2.5297601
-0.3310889,1.0,0,0.71568567
0.11596055,1.0,1,3.3400655
-0.23119776,1.0,1,1.3773087
-0.1540599,1.0,0,1.4435744
-0.21451098,1.0,1,1.6827751
-0.09381564,1.0,1,3.5246115
-1.0782723,0.0,1,0.9749785
-0.14079362,1.0,0,1.1144111
-0.38402572,0.0,1,1.20802
0.32672918,1.0,1,1.9816931
-0.01668205,1.0,0,0.15972877
0.13649033,0.0,1,1.5526673
-0.16542077,1.0,1,1.799985
0.04822101,1.0,1,1.598406
-0.11058875,1.0,0,1.5833222
-0.5381519,0.0,0,-0.67024446
-0.22233476,1.0,1,2.3936725
0.036896795,0.0,1,2.043925
0.31382856,0.0,1,0.5442279
-0.33470368,0.0,1,0.87683034
0.19728118,0.0,0,-0.21557876
-0.18858363,0.0,0,0.88232106
0.15196292,1.0,1,1.593288
0.093504965,1.0,0,1.6283178
-0.49622336,0.0,0,0.2127802
-0.22429743,0.0,1,1.3394616
-0.018200453,1.0,1,2.1302395
0.49436358,0.0,1,1.8703485
0.048819575,1.0,1,1.4617045
0.6033931,0.0,1,1.9779038
0.2985016,1.0,0,1.4831089
-0.26484185,0.0,0,1.0879697
-0.3294435,0.0,1,1.4226869
0.105189905,0.0,0,0.43837172
-0.16063839,0.0,0,-0.6198181
0.23720104,1.0,1,1.7969477
0.3570384,1.0,0,0.5507812
-0.28075266,0.0,1,1.3709574
-0.3070862,0.0,0,-0.5750231
-0.02541139,1.0,1,2.4854841
0.19043224,1.0,1,3.1035984
0.47625834,1.0,0,2.0897436
0.0581701,1.0,1,2.822355
0.106872454,1.0,0,2.2039814
-0.078637294,1.0,0,1.461312
-0.2222843,1.0,0,2.2973883
0.2794802,0.0,1,1.6957147
0.64324754,1.0,1,2.8159552
0.4276299,0.0,0,0.23753491
0.37507394,1.0,1,3.156113
0.29561722,1.0,0,0.6930963
-0.2418915,0.0,0,-0.74418885
-0.6245439,1.0,0,-0.3206141
0.29305884,1.0,1,2.899991
-0.07353428,1.0,0,0.8790902
-0.30940995,0.0,0,-0.09187198
0.11299484,1.0,1,2.471002
0.21495694,1.0,1,2.51558
-0.3842895,0.0,1,1.8440721
-0.26066938,1.0,0,1.5682096
0.11559456,1.0,0,1.4549146
-0.09197417,0.0,1,0.9254851
0.2763664,1.0,1,2.4838078
-0.2663371,0.0,1,1.3058808
0.5504756,1.0,1,5.0724897
