x2,x3,x4,x5,y,x6,x7,x8,x9
-6.1380644,1.5305688,4.866468,1.0,1,1.4360094,-4.2693453,1.0,1.0
-7.4405107,1.5270936,9.984082,1.0,0,-2.3598025,-4.0698147,1.0,0.0
-8.348201,0.53607166,7.3581467,1.0,0,1.0129715,1.4565972,1.0,1.0
-5.819162,0.952998,8.543695,1.0,0,-3.6149883,-1.306298,1.0,0.0
-4.443731,1.1426481,6.270088,1.0,0,3.8066845,-2.5027215,0.0,1.0
-6.61864,1.9709504,4.5339355,1.0,0,-6.276858,-1.0429943,1.0,0.0
-7.6840363,0.04381883,6.770484,1.0,1,-4.3676834,-4.4593916,0.0,1.0
-8.9532795,0.45520678,10.829193,1.0,0,7.2838173,0.6685351,1.0,1.0
-9.401553,2.2501116,9.705907,1.0,0,7.665718,-4.683071,0.0,1.0
-7.4626384,3.3043208,7.294435,1.0,0,-6.0137157,0.06428647,1.0,0.0
-5.559969,1.8371195,10.139809,1.0,0,-1.0089769,-2.073611,1.0,0.0
-8.715639,0.1455288,7.3422685,1.0,1,1.7550979,-4.2009983,1.0,1.0
-8.987744,0.1730339,8.526031,1.0,1,-0.43172956,-0.6587019,0.0,0.0
-9.395204,0.91087985,8.099357,1.0,0,2.5331454,-2.5629992,1.0,1.0
-10.320927,1.1421211,12.009807,1.0,0,-0.9004996,-0.028926015,1.0,1.0
-9.425123,1.7443051,8.20037,1.0,0,-0.12629437,-2.5851767,1.0,1.0
-6.9589415,0.51962036,7.2665467,1.0,1,-0.65089285,-1.7276495,0.0,0.0
-7.4066978,0.31948745,7.505091,1.0,0,-3.5656734,-2.3361914,0.0,0.0
-7.0520973,1.698394,6.4181004,1.0,1,-3.1664524,-0.99720263,0.0,0.0
-8.191806,3.0694447,12.979907,1.0,0,2.5900352,0.42300236,0.0,0.0
-8.514953,1.9028907,10.898541,1.0,0,6.1913247,-3.4087024,1.0,1.0
-5.9179773,-0.4461037,6.7947083,1.0,1,1.6213175,-4.388673,1.0,1.0
-5.774666,2.8075123,4.904669,1.0,1,-2.6456048,-3.6552706,0.0,1.0
-5.355413,0.492593,6.0626273,1.0,1,0.18300949,-0.9759295,1.0,1.0
-9.156395,0.564731,6.8417983,1.0,0,2.3657732,-4.761408,0.0,1.0
-8.733407,2.862106,6.7965164,1.0,1,-2.3855758,-3.8550239,1.0,0.0
-9.00893,2.3702378,14.2130165,1.0,0,0.4021318,-1.3841695,0.0,1.0
-9.006664,1.4039651,10.621059,1.0,0,2.4591928,-3.753779,1.0,1.0
-2.8914077,1.4076669,5.866171,1.0,1,-4.0844526,-1.3245413,1.0,1.0
-3.3521261,1.6350293,-0.79254127,1.0,1,-0.9226366,-0.4184754,1.0,1.0
-7.015267,1.9652758,5.3849573,1.0,1,-1.0062797,-1.8628719,1.0,0.0
-6.558001,2.7729173,5.6245513,1.0,1,3.1377695,-2.9864774,1.0,1.0
-6.848578,0.52962255,4.9735575,1.0,1,-7.978053,-3.5504751,1.0,0.0
-11.808741,1.5984908,11.365646,1.0,0,-1.1291835,0.29512203,0.0,0.0
-6.9766583,1.9590089,5.5877433,1.0,1,2.5625265,-1.8520437,1.0,1.0
-8.361673,0.6790307,9.749224,1.0,0,0.15820563,1.4501194,1.0,1.0
-3.1259358,0.8098872,0.44066024,1.0,1,0.61969805,-4.759679,1.0,0.0
-5.9993114,3.1054244,8.989483,1.0,0,0.06281865,-1.0704131,0.0,1.0
-7.180994,1.3363819,6.6178803,1.0,0,0.824847,-0.4727651,1.0,0.0
-5.490203,-0.20981634,2.6357648,1.0,1,-0.05254972,-1.9926577,0.0,0.0
-4.4105053,0.17636144,1.5165215,1.0,1,-0.6339084,-3.2001166,0.0,0.0
-5.8270063,1.3148831,4.5188847,1.0,1,1.3767743,-2.9094467,1.0,1.0
-8.657547,-0.19332027,8.118386,1.0,0,2.9262826,-0.06073594,0.0,1.0
-5.953525,2.31522,15.921625,1.0,0,6.2172403,-1.0255451,1.0,1.0
-6.042451,1.362242,6.2913074,1.0,1,-1.2809696,-1.7825035,0.0,0.0
-2.9583168,0.80042255,2.6137145,0.0,1,3.1649656,-5.175088,1.0,1.0
-4.0508394,1.8655559,1.042388,0.0,1,-4.524535,-0.9804368,1.0,1.0
-7.857453,1.5685246,7.29136,1.0,0,0.899894,-2.277301,0.0,1.0
-3.7597299,0.88871044,-0.6511514,1.0,1,-0.26114655,-3.977247,1.0,0.0
-6.537661,1.8969396,5.756349,1.0,1,3.889791,-2.018027,1.0,1.0
-6.097445,0.6899712,3.7918398,1.0,1,0.6289955,-0.9333502,1.0,1.0
-3.9374382,1.5760446,6.12271,1.0,1,-0.22797087,-2.8462746,1.0,1.0
-6.722242,0.5460633,7.172217,1.0,0,-2.9160645,2.6805267,0.0,0.0
-9.86892,2.6886196,9.970124,1.0,0,2.0339227,-3.9257092,1.0,1.0
-3.5312564,0.4645409,-1.7306471,1.0,1,-2.4382648,-0.37463617,1.0,1.0
-6.712432,0.5481448,7.6547117,1.0,0,3.7834752,-0.86228055,1.0,1.0
-5.7286763,1.5131615,6.221969,0.0,1,-2.617556,-1.9990675,1.0,1.0
-5.543229,1.472986,1.6884909,1.0,1,-0.41555834,-4.6432877,0.0,1.0
-8.899783,1.9680698,10.184379,1.0,0,3.29799,-1.8933634,1.0,0.0
-6.3937097,1.0076041,4.5785713,1.0,1,3.4804199,-1.4847032,1.0,1.0
-7.728079,1.4339664,11.556774,1.0,0,6.0342336,-3.7967033,0.0,1.0
-11.313733,0.8436938,9.550632,1.0,0,5.8651524,-2.2393842,1.0,0.0
-6.9058275,3.9355726,11.3014555,1.0,0,3.7044365,-2.1141763,1.0,1.0
-5.176864,0.395903,5.4114256,1.0,1,-3.4370494,-4.2227554,1.0,0.0
-7.0223475,0.3859644,5.566805,1.0,1,0.45870772,-1.6742562,1.0,0.0
-6.165605,1.4904577,8.931089,1.0,0,-1.622195,-0.5420399,0.0,0.0
-8.45818,0.7315674,4.631405,1.0,1,2.574371,-3.154468,0.0,1.0
-1.0593507,1.081808,0.6264595,1.0,1,-1.7528491,-1.850848,0.0,1.0
-2.1717134,1.1995631,4.0821342,1.0,1,-0.62065214,-2.5916708,1.0,0.0
-6.5947633,1.3620696,7.257036,1.0,0,1.2265353,-3.446189,1.0,0.0
-3.2041152,0.55763805,2.475725,1.0,1,-0.7895423,-2.1769748,0.0,0.0
-5.793932,0.94269675,9.0705185,1.0,0,-0.3200667,-0.48298538,1.0,0.0
-7.9745684,0.57283866,7.5998354,1.0,1,5.058755,-4.675826,1.0,1.0
-5.757214,-0.71186984,5.105974,1.0,1,-4.9912715,-1.8248773,1.0,0.0
-10.043124,0.7912532,11.346739,1.0,0,4.2668138,-6.5753136,1.0,0.0
-5.382963,0.7351608,7.7867417,1.0,1,0.4836835,-0.46753573,0.0,1.0
-3.4017665,0.3135274,2.9864771,1.0,1,1.6443443,-1.8282895,1.0,1.0
-7.356736,3.3115194,10.265726,1.0,0,-1.0059344,-0.42998314,1.0,0.0
-8.614892,1.5794866,8.745423,1.0,0,-2.4845946,-0.045166135,1.0,0.0
-7.842668,-0.05913794,10.630856,1.0,0,3.508626,0.094585896,1.0,0.0
-4.1905203,-0.10170996,5.463167,1.0,1,2.2791073,-2.1999207,1.0,1.0
-4.5233836,0.80539775,7.0803123,1.0,1,-1.4186125,-3.6573448,1.0,0.0
-2.4245834,-0.40180683,9.248382,1.0,0,1.6843808,-0.67800224,1.0,0.0
-5.3119287,-0.28850102,8.213097,1.0,0,2.2127082,-0.11503649,0.0,1.0
-8.013636,2.563666,8.472879,1.0,0,0.682336,-2.142422,0.0,1.0
-6.377307,2.7690544,4.031846,1.0,1,-7.2011347,-4.420679,1.0,0.0
-12.583027,0.5644857,13.63882,1.0,0,-1.9474049,0.6177393,1.0,0.0
-7.8165374,0.93028617,8.600325,1.0,0,0.71394664,-1.2163503,1.0,0.0
-8.0028105,1.8897486,9.323569,1.0,0,-1.0361173,-4.6064167,1.0,1.0
-6.816433,2.3804386,4.109586,0.0,1,0.2281847,-3.5049086,1.0,0.0
-6.4975452,0.70381266,1.0513911,1.0,1,-1.0713264,-1.3078839,1.0,0.0
-4.4254093,3.5052829,2.83002,1.0,1,-2.1103644,-2.2120047,0.0,0.0
-4.245016,2.5201132,1.7104475,0.0,1,2.114033,-2.5505416,1.0,1.0
-7.8103395,2.0996199,9.072191,1.0,0,3.4122293,-2.076408,1.0,1.0
-8.126702,2.102616,7.543841,1.0,1,-0.58766425,-2.8568225,1.0,1.0
-9.293863,1.1644721,6.7184496,1.0,1,0.93638265,-3.3676038,1.0,1.0
-9.144211,1.2460335,8.069193,1.0,1,2.667437,2.3710952,0.0,1.0
-10.291122,0.18398601,12.058542,1.0,0,4.3172946,-4.366403,1.0,1.0
-4.4607177,2.772771,2.184544,1.0,1,0.24678284,-0.8101814,1.0,0.0
-5.8526583,2.0222912,6.0430107,1.0,0,2.3655336,-3.0840044,1.0,1.0
-3.2378259,3.2092075,0.7175863,1.0,1,-0.5485061,-5.682996,1.0,1.0
-5.976934,-0.48161972,7.753969,1.0,1,1.9257178,-2.5625784,1.0,1.0
-4.093383,1.9905739,2.9326556,0.0,1,0.31790143,-3.8707001,1.0,0.0
