x1,x2,x3,x4,y
1.0,1.4751886,1.0,2.5948758,1.0
1.0,-2.9986277,0.0,-0.5051806,0.0
0.0,1.0226794,1.0,0.8088422,1.0
1.0,-0.906989,0.0,1.1511787,1.0
1.0,-0.30508262,1.0,1.8983626,1.0
1.0,0.79210716,0.0,2.0675814,1.0
0.0,-0.5465237,0.0,-0.94548696,0.0
1.0,1.2939559,1.0,5.2515097,1.0
0.0,-1.5911529,0.0,-2.5311236,0.0
1.0,-0.66554874,1.0,-1.1443088,0.0
1.0,1.2188134,1.0,4.133005,1.0
1.0,1.318667,1.0,4.089011,1.0
1.0,0.6364926,1.0,1.7087784,1.0
0.0,-0.5238149,1.0,1.4217398,1.0
1.0,0.3643299,1.0,1.8477157,1.0
0.0,0.71174055,1.0,0.09619498,1.0
0.0,-1.9480022,0.0,-3.2056615,0.0
1.0,0.69155985,1.0,2.4507465,1.0
1.0,-1.7690432,0.0,-1.3974876,0.0
1.0,-0.69067496,0.0,0.44683206,1.0
1.0,-1.7176932,1.0,-1.0156463,0.0
1.0,-0.4161534,1.0,1.897547,1.0
0.0,1.559908,1.0,2.4678178,1.0
0.0,-0.8449787,0.0,-0.93431795,0.0
1.0,-0.09501995,0.0,0.31831253,1.0
1.0,0.0375581,0.0,3.2632957,1.0
1.0,0.7620458,1.0,2.8457928,1.0
1.0,0.1482617,1.0,1.4462085,1.0
1.0,-0.6305378,1.0,1.9650874,1.0
1.0,-0.72628725,1.0,1.2862197,1.0
1.0,-0.35386616,1.0,0.67145026,0.0
1.0,-1.7582988,0.0,-1.1068807,0.0
1.0,-1.7942113,0.0,-0.61514306,0.0
1.0,-1.3001194,1.0,1.0770392,0.0
0.0,0.9930528,1.0,0.6073489,1.0
0.0,0.71083206,1.0,2.98527,1.0
1.0,-0.94768035,1.0,1.4928125,1.0
1.0,0.7102282,1.0,3.3865316,1.0
1.0,-0.574987,0.0,0.57602274,0.0
1.0,1.5508937,1.0,5.4666147,1.0
0.0,-0.52194524,0.0,-0.77804774,0.0
1.0,2.1235065,1.0,5.092563,1.0
1.0,-0.33924106,1.0,1.3458378,1.0
1.0,-0.79259586,0.0,-0.6885075,0.0
1.0,0.36075005,1.0,2.9655075,0.0
0.0,0.50548446,0.0,1.1768739,0.0
1.0,1.9035047,1.0,4.170014,1.0
1.0,0.70353377,0.0,0.108734965,1.0
0.0,-0.25923124,1.0,-0.29067254,1.0
0.0,0.071810976,1.0,3.2592895,1.0
0.0,-0.20260505,1.0,-0.119801104,0.0
1.0,-1.0621775,0.0,-0.2789042,0.0
1.0,-0.14274763,1.0,1.8862567,0.0
0.0,-1.4803923,1.0,0.36068994,0.0
1.0,1.8528541,1.0,2.2917228,1.0
1.0,1.0899754,1.0,4.749484,1.0
1.0,0.1471163,1.0,1.5907631,1.0
0.0,-0.20124593,0.0,0.59650266,0.0
0.0,1.8557026,1.0,3.8472621,1.0
1.0,-0.61769474,1.0,1.5092758,1.0
1.0,-0.47565332,1.0,1.8558085,0.0
1.0,-1.2816963,0.0,-1.0932835,0.0
1.0,-0.78547233,0.0,-0.7898014,0.0
1.0,0.2925701,1.0,2.2462626,0.0
1.0,0.83515733,1.0,1.9238228,1.0
1.0,0.41837424,1.0,2.7591658,1.0
1.0,0.31388074,1.0,1.8499537,1.0
0.0,0.52793056,1.0,1.9935913,1.0
1.0,0.014413189,1.0,2.790349,1.0
1.0,-0.32374132,1.0,1.0856516,1.0
1.0,-2.2595708,1.0,-1.2029366,0.0
1.0,0.4409914,1.0,2.1914883,1.0
1.0,1.4200174,1.0,1.8075687,1.0
1.0,-0.94890064,1.0,1.2724893,0.0
1.0,-0.8616261,0.0,-0.9654791,0.0
0.0,-2.7800586,0.0,-2.6733496,0.0
0.0,-1.2709861,1.0,-0.2762703,1.0
1.0,2.4688058,1.0,4.7334175,1.0
1.0,-0.20851052,1.0,3.2601867,1.0
1.0,1.9214538,1.0,3.9536293,1.0
1.0,-0.15970658,1.0,3.7339137,1.0
1.0,0.37307036,0.0,1.0667046,0.0
0.0,0.2834307,0.0,0.7793462,0.0
1.0,-0.1627255,1.0,3.0048273,1.0
1.0,1.5671962,1.0,3.0334823,1.0
1.0,-0.46470225,1.0,1.18449,1.0
0.0,0.10015474,1.0,1.4224889,1.0
1.0,-0.3440033,1.0,2.7760363,1.0
0.0,0.3753227,1.0,0.99121565,0.0
1.0,0.22278066,1.0,1.4714727,0.0
1.0,0.30358374,1.0,4.0985417,1.0
1.0,2.6654687,1.0,3.7564974,1.0
0.0,-0.050612334,0.0,0.20440954,0.0
0.0,0.94007605,1.0,1.2246294,1.0
1.0,0.72164494,1.0,1.9080074,1.0
1.0,-1.5443631,0.0,-0.52254623,0.0
1.0,0.16547593,0.0,1.8389138,1.0
0.0,0.500408,0.0,0.927417,1.0
1.0,-0.10845563,0.0,1.3748859,1.0
1.0,-0.87423384,1.0,-0.25370824,0.0
1.0,-1.4196728,0.0,0.416341,0.0
0.0,-1.0057739,0.0,-2.4132462,0.0
0.0,0.05650658,1.0,1.4919496,1.0
0.0,0.67307854,1.0,1.4283949,1.0
1.0,1.3032244,1.0,2.9733148,1.0
1.0,-0.4962947,0.0,0.79619175,0.0
1.0,-2.4929774,1.0,-1.773305,0.0
1.0,0.8250636,1.0,5.2775908,1.0
1.0,1.1438107,1.0,3.784145,1.0
1.0,0.9274437,1.0,2.7438533,1.0
1.0,0.48354882,1.0,0.8282503,1.0
0.0,-0.7280147,0.0,0.6869005,0.0
1.0,1.3867593,1.0,3.1491446,1.0
1.0,-1.3324991,0.0,0.2576396,0.0
1.0,0.13314079,1.0,1.4646881,1.0
1.0,-0.0942491,1.0,2.6920958,1.0
1.0,-0.12859963,1.0,1.2376106,0.0
0.0,0.36563548,1.0,0.49457777,0.0
1.0,0.8629725,1.0,3.161328,1.0
1.0,1.6552886,1.0,3.205652,1.0
1.0,-0.48986647,0.0,0.8514173,1.0
0.0,2.276247,1.0,4.1854963,1.0
1.0,0.008167373,1.0,2.6409323,1.0
1.0,2.4449096,1.0,3.0974722,1.0
1.0,2.06226,1.0,4.1409283,1.0
0.0,1.3401375,1.0,2.0766575,1.0
1.0,1.5229764,1.0,2.4357548,1.0
0.0,-1.0258847,0.0,-0.46306628,0.0
0.0,-0.23859753,1.0,1.2532547,1.0
0.0,-0.83746195,1.0,1.7076814,1.0
0.0,-0.098504335,1.0,0.86669403,1.0
1.0,-0.038722802,1.0,1.893711,1.0
1.0,2.267081,1.0,4.8343863,1.0
0.0,1.5716981,1.0,1.1099707,1.0
0.0,0.3070759,1.0,-0.013945103,0.0
1.0,-1.1956968,1.0,2.349228,0.0
0.0,-0.9768679,0.0,-0.5008754,1.0
1.0,-0.29640135,1.0,1.6819744,1.0
