x1,y,x2,x3,x4,x5,x6,x7,x8,x9
0.8317518,1,0.5497973,4.9353495,0.0,0.94645935,-2.4435458,1.0,-0.32960758,0.0
-0.3618598,1,0.63274795,-1.3108993,1.0,-0.16404793,-0.9476491,1.0,-0.31231487,1.0
-3.0784874,0,1.681938,-2.2547445,1.0,0.26658654,-6.4708843,1.0,0.67200637,1.0
0.5990064,0,1.7523134,-1.7541426,1.0,0.052535325,-3.828124,1.0,-0.19024807,1.0
-1.7994545,1,0.62730217,4.834161,0.0,-0.26962698,-2.1244097,0.0,0.030296803,0.0
-5.10799,1,-2.8500915,1.3311723,1.0,-1.3075385,-4.3849206,1.0,-0.24920833,0.0
-0.9165095,0,1.2199687,-3.3088198,0.0,0.26863694,-1.7280179,0.0,-1.9086634,1.0
1.0563502,0,1.612375,4.6322365,0.0,0.32130605,-4.4226265,1.0,-0.17598625,0.0
-2.1959786,1,-0.87168694,-5.176072,1.0,-1.0380453,-3.9630878,1.0,-1.5523759,0.0
-3.1486154,1,-0.48284438,1.7460771,0.0,-1.7049075,-5.1281786,0.0,-0.88479644,0.0
-4.2521424,1,0.44128394,1.6602165,0.0,-0.39526188,-4.568468,0.0,-0.7460818,1.0
-1.426482,0,-0.007177949,-2.9795449,1.0,0.041080385,-4.1983438,0.0,-0.87699187,1.0
-2.2923663,0,-1.8199983,-1.447186,1.0,0.85730934,-4.646611,0.0,-0.28785828,1.0
-3.0565195,1,-0.34668675,-4.453112,1.0,-0.70774215,-0.91729724,0.0,-1.7779069,0.0
-2.020496,1,-0.3489461,-0.6454829,0.0,-1.1927688,-1.4881353,0.0,-1.0087452,0.0
-2.1994138,1,0.8394561,1.7396066,0.0,-0.33263493,-3.2303622,0.0,-1.7687573,0.0
-2.2215006,0,1.0931151,2.3076007,1.0,0.4767821,-1.8179829,0.0,-0.72696847,0.0
-1.3563669,0,1.8405364,0.061692357,0.0,1.2252299,-4.4996834,1.0,-0.10655576,0.0
-1.1205578,0,2.4949756,2.7766085,0.0,-0.39358836,-2.5184636,1.0,-0.7690176,0.0
-3.2392125,1,-0.3774235,2.2570682,0.0,0.17313343,-3.657556,1.0,0.5820699,0.0
1.5127554,0,3.777101,-5.045789,1.0,-0.17417794,-5.4663553,1.0,-0.23849991,0.0
-3.9540417,1,-0.44129452,-3.6357667,1.0,-0.11403215,0.1502254,1.0,0.25902963,1.0
3.1626182,0,4.4698143,-6.3148203,1.0,0.20972282,-3.2081497,0.0,-0.8146742,1.0
0.21031415,0,3.0807118,0.142797,0.0,-0.0071831346,-2.2234075,0.0,-0.8119247,0.0
-4.133028,1,-0.0472579,-1.4954839,0.0,0.53901774,-2.8295822,1.0,-0.10962881,1.0
-2.1214333,1,-0.081202805,-6.8653445,1.0,-1.167761,-5.4748144,1.0,0.15522575,1.0
-0.17527401,0,2.7190702,1.4550443,1.0,0.675142,-3.3066761,0.0,-0.008913219,1.0
1.0402479,0,2.1275523,0.9699756,0.0,0.52225226,-1.6798044,0.0,-1.2609284,0.0
