x1,x2,x3,x4,dist_x_interest,no_changed,dist_train,neg_lik,dist_x_interest_all,no_changed_all,neg_lik_all,dist_train_all,nondom,dist_x_interest_nondom,no_changed_nondom,neg_lik_nondom,dist_train_nondom,id,runtime,job.id,problem,algorithm,dataset,n_synth,node_selector,weight_coverage,weight_proximity,cf_method,log_probs
-4.5897136,-0.5215279964,-0.50727992658,0,0.147044440450824,2,0.0066856041242698,0.834345443089157,0.202041120879951,2.13935681470138,0.899738003219546,0.0097696433768916,False,0.112386358633411,1.47222222222222,0.899821571777374,0.009363352739999,1,31.109605550766,29,sim,cfs,bn_5_v2,20,coverage,0,0,ARF,-4.11209194730136
-4.5897136,-1.0810422562,-0.71083380483,0,0.171871889264149,2,0.0061916030711522,0.921964156499723,0.202041120879951,2.13935681470138,0.899738003219546,0.0097696433768916,False,0.112386358633411,1.47222222222222,0.899821571777374,0.009363352739999,1,31.109605550766,29,sim,cfs,bn_5_v2,20,coverage,0,0,ARF,-4.8484216314628155
-4.5897136,-1.010634725,-1.48948861833,0,0.147314121133329,2,0.0084265420260453,0.962942521993266,0.202041120879951,2.13935681470138,0.899738003219546,0.0097696433768916,False,0.112386358633411,1.47222222222222,0.899821571777374,0.009363352739999,1,31.109605550766,29,sim,cfs,bn_5_v2,20,coverage,0,0,ARF,-5.549940865069158
-4.5897136,-1.0135041169,0.70330422851,0,0.205906593983853,2,0.0092082579042733,0.902626104898331,0.202041120879951,2.13935681470138,0.899738003219546,0.0097696433768916,False,0.112386358633411,1.47222222222222,0.899821571777374,0.009363352739999,1,31.109605550766,29,sim,cfs,bn_5_v2,20,coverage,0,0,ARF,-4.789572084840561
-4.5897136,-0.8102643308,0.90413917443,0,0.200269917328028,2,0.004922450736754,0.868691289467498,0.202041120879951,2.13935681470138,0.899738003219546,0.0097696433768916,False,0.112386358633411,1.47222222222222,0.899821571777374,0.009363352739999,1,31.109605550766,29,sim,cfs,bn_5_v2,20,coverage,0,0,ARF,-4.667147880806222
-4.5897136,-0.7073115373,-0.69525379992,0,0.152080027952296,2,0.0049562299335906,0.869089213010228,0.202041120879951,2.13935681470138,0.899738003219546,0.0097696433768916,False,0.112386358633411,1.47222222222222,0.899821571777374,0.009363352739999,1,31.109605550766,29,sim,cfs,bn_5_v2,20,coverage,0,0,ARF,-4.190135189852465
-4.5897136,-0.8781157518,-1.03621294778,0,0.152228689865118,2,0.0034110452537749,0.904311776190285,0.202041120879951,2.13935681470138,0.899738003219546,0.0097696433768916,False,0.112386358633411,1.47222222222222,0.899821571777374,0.009363352739999,1,31.109605550766,29,sim,cfs,bn_5_v2,20,coverage,0,0,ARF,-4.672292223402078
-4.5897136,-0.1523060209,-0.55461193247,0,0.125819772323594,2,0.0041609998923395,0.870612336984489,0.202041120879951,2.13935681470138,0.899738003219546,0.0097696433768916,False,0.112386358633411,1.47222222222222,0.899821571777374,0.009363352739999,1,31.109605550766,29,sim,cfs,bn_5_v2,20,coverage,0,0,ARF,-4.868380086496365
-4.5897136,-0.5155211433,0.3436295955,0,0.169396164666249,2,0.0102543983654941,0.838508651105778,0.202041120879951,2.13935681470138,0.899738003219546,0.0097696433768916,False,0.112386358633411,1.47222222222222,0.899821571777374,0.009363352739999,1,31.109605550766,29,sim,cfs,bn_5_v2,20,coverage,0,0,ARF,-4.1778961563865336
-4.5897136,-0.3389155492,-0.58118541195,0,0.135201296048904,2,0.0070657731427827,0.778787272416246,0.202041120879951,2.13935681470138,0.899738003219546,0.0097696433768916,False,0.112386358633411,1.47222222222222,0.899821571777374,0.009363352739999,1,31.109605550766,29,sim,cfs,bn_5_v2,20,coverage,0,0,ARF,-4.396019518560352
-4.5897136,-0.8211255414,0.4442118551,0,0.188600229676538,2,0.0082685255707857,0.855487614289312,0.202041120879951,2.13935681470138,0.899738003219546,0.0097696433768916,False,0.112386358633411,1.47222222222222,0.899821571777374,0.009363352739999,1,31.109605550766,29,sim,cfs,bn_5_v2,20,coverage,0,0,ARF,-4.260690897944441
-4.5897136,-1.4037201955,0.71468288415,0,0.227308235102306,2,0.0143676535945819,0.973644262074986,0.202041120879951,2.13935681470138,0.899738003219546,0.0097696433768916,False,0.112386358633411,1.47222222222222,0.899821571777374,0.009363352739999,1,31.109605550766,29,sim,cfs,bn_5_v2,20,coverage,0,0,ARF,-6.214715551825877
-4.5897136,-0.9033438635,1.19087342054,0,0.212943978404176,2,0.0126621528165352,0.956018691584105,0.202041120879951,2.13935681470138,0.899738003219546,0.0097696433768916,False,0.112386358633411,1.47222222222222,0.899821571777374,0.009363352739999,1,31.109605550766,29,sim,cfs,bn_5_v2,20,coverage,0,0,ARF,-5.164397094289727
